시도명,시군구명,지역구분,업종명,이용자 구분,연령대,성별,연월,이용자수,이용횟수,이용금액,연도
제주도,제주시,읍면,숙박,내국인관광객,50대,남,2018-12,493,665,72294220,2018
제주도,제주시,읍면,숙박,내국인관광객,40대,여,2018-12,397,503,41856976,2018
제주도,제주시,읍면,숙박,내국인관광객,40대,남,2018-12,563,744,67920126,2018
제주도,제주시,읍면,숙박,내국인관광객,30대,여,2018-12,510,617,51997841,2018
제주도,제주시,읍면,숙박,내국인관광객,30대,남,2018-12,479,673,50017075,2018
제주도,제주시,읍면,숙박,내국인관광객,20대미만,여,2018-12,7,9,113220,2018
제주도,제주시,읍면,숙박,내국인관광객,20대미만,남,2018-12,18,23,1438600,2018
제주도,제주시,읍면,숙박,내국인관광객,20대,여,2018-12,374,417,22011699,2018
제주도,제주시,읍면,숙박,내국인관광객,20대,남,2018-12,292,351,20634113,2018
제주도,제주시,읍면,쇼핑,제주도민,60대이상,여,2018-12,1582,5203,206633645,2018
제주도,제주시,읍면,쇼핑,제주도민,60대이상,남,2018-12,2788,9280,325061286,2018
제주도,제주시,읍면,쇼핑,제주도민,50대,여,2018-12,2858,9611,334957857,2018
제주도,제주시,읍면,쇼핑,제주도민,50대,남,2018-12,4703,16323,380996152,2018
제주도,제주시,읍면,쇼핑,제주도민,40대,여,2018-12,3648,12876,306738635,2018
제주도,제주시,읍면,쇼핑,제주도민,40대,남,2018-12,6228,22235,397200573,2018
제주도,제주시,읍면,쇼핑,제주도민,30대,여,2018-12,2667,8946,175275932,2018
제주도,제주시,읍면,쇼핑,제주도민,30대,남,2018-12,4522,15748,240466187,2018
제주도,제주시,읍면,쇼핑,제주도민,20대미만,여,2018-12,139,455,2052150,2018
제주도,제주시,읍면,쇼핑,제주도민,20대미만,남,2018-12,200,799,4063460,2018
제주도,제주시,읍면,쇼핑,제주도민,20대,여,2018-12,1653,4746,52189720,2018
제주도,제주시,읍면,쇼핑,제주도민,20대,남,2018-12,2574,9303,92025830,2018
제주도,제주시,읍면,쇼핑,내국인관광객,60대이상,여,2018-12,861,2059,52438060,2018
제주도,제주시,읍면,쇼핑,내국인관광객,60대이상,남,2018-12,1489,3762,77651290,2018
제주도,제주시,읍면,쇼핑,내국인관광객,50대,여,2018-12,1850,3913,75992540,2018
제주도,제주시,읍면,쇼핑,내국인관광객,50대,남,2018-12,3388,7895,145519930,2018
제주도,제주시,읍면,쇼핑,내국인관광객,40대,여,2018-12,2593,5300,99499290,2018
제주도,제주시,읍면,쇼핑,내국인관광객,40대,남,2018-12,4618,11726,193623523,2018
제주도,제주시,읍면,쇼핑,내국인관광객,30대,여,2018-12,3689,6698,108961860,2018
제주도,제주시,읍면,쇼핑,내국인관광객,30대,남,2018-12,5290,11327,158404000,2018
제주도,제주시,읍면,쇼핑,내국인관광객,20대미만,여,2018-12,90,155,1398450,2018
제주도,제주시,읍면,쇼핑,내국인관광객,20대미만,남,2018-12,110,256,3069910,2018
제주도,제주시,읍면,쇼핑,내국인관광객,20대,여,2018-12,4314,7380,78250520,2018
제주도,제주시,읍면,쇼핑,내국인관광객,20대,남,2018-12,4298,8487,88237800,2018
제주도,제주시,읍면,소매,제주도민,60대이상,여,2018-12,352,499,45362418,2018
제주도,제주시,읍면,소매,제주도민,60대이상,남,2018-12,455,674,54944468,2018
제주도,제주시,읍면,소매,제주도민,50대,여,2018-12,551,814,91455900,2018
제주도,제주시,읍면,소매,제주도민,50대,남,2018-12,793,1136,87242050,2018
제주도,제주시,읍면,소매,제주도민,40대,여,2018-12,605,908,52214818,2018
제주도,제주시,읍면,소매,제주도민,40대,남,2018-12,876,1421,85809709,2018
제주도,제주시,읍면,소매,제주도민,30대,여,2018-12,415,559,19368472,2018
제주도,제주시,읍면,소매,제주도민,30대,남,2018-12,549,800,30633549,2018
